DATE,GCE
1947-01-01,40.274
1947-04-01,40.138
1947-07-01,39.361
1947-10-01,39.534
1948-01-01,40.875
1948-04-01,42.884
1948-07-01,44.66
1948-10-01,46.603
1949-01-01,48.585
1949-04-01,50.381
1949-07-01,50.356
1949-10-01,49.91
1950-01-01,48.956
1950-04-01,49.643
1950-07-01,49.746
1950-10-01,53.713
1951-01-01,62.033
1951-04-01,69.821
1951-07-01,78.046
1951-10-01,83.314
1952-01-01,84.998
1952-04-01,88.987
1952-07-01,90.931
1952-10-01,93.418
1953-01-01,95.764
1953-04-01,97.925
1953-07-01,96.622
1953-10-01,96.747
1954-01-01,94.831
1954-04-01,92.534
1954-07-01,91.148
1954-10-01,91.356
1955-01-01,91.869
1955-04-01,92.533
1955-07-01,94.099
1955-10-01,93.331
1956-01-01,94.848
1956-04-01,98.247
1956-07-01,98.279
1956-10-01,101.345
1957-01-01,105.342
1957-04-01,105.842
1957-07-01,107.405
1957-10-01,110.062
1958-01-01,109.843
1958-04-01,113.624
1958-07-01,115.093
1958-10-01,117.992
1959-01-01,117.195
1959-04-01,118.535
1959-07-01,119.492
1959-10-01,118.608
1960-01-01,116.951
1960-04-01,118.38
1960-07-01,122.419
1960-10-01,124.33
1961-01-01,126.218
1961-04-01,127.254
1961-07-01,129.961
1961-10-01,133.516
1962-01-01,137.107
1962-04-01,138.426
1962-07-01,142.052
1962-10-01,143.562
1963-01-01,143.724
1963-04-01,144.132
1963-07-01,149.927
1963-10-01,150.989
1964-01-01,152.554
1964-04-01,154.314
1964-07-01,156.033
1964-10-01,156.152
1965-01-01,157.025
1965-04-01,159.808
1965-07-01,166.761
1965-10-01,172.619
1966-01-01,177.032
1966-04-01,181.659
1966-07-01,189.466
1966-10-01,193.621
1967-01-01,202.588
1967-04-01,203.811
1967-07-01,208.379
1967-10-01,213.293
1968-01-01,219.749
1968-04-01,223.637
1968-07-01,227.37
1968-10-01,231.347
1969-01-01,233.705
1969-04-01,236.859
1969-07-01,242.535
1969-10-01,242.838
1970-01-01,247.889
1970-04-01,249.143
1970-07-01,254.584
1970-10-01,258.708
1971-01-01,261.905
1971-04-01,266.118
1971-07-01,269.783
1971-10-01,272.067
1972-01-01,282.228
1972-04-01,286.464
1972-07-01,284.316
1972-10-01,291.749
1973-01-01,299.571
1973-04-01,302.709
1973-07-01,304.189
1973-10-01,312.593
1974-01-01,324.586
1974-04-01,334.957
1974-07-01,346.71
1974-10-01,359.228
1975-01-01,370.138
1975-04-01,373.408
1975-07-01,385.394
1975-10-01,395.571
1976-01-01,401.291
1976-04-01,400.985
