DATE,SLOANS
1993-10-01,353
1994-01-01,350
1994-04-01,354
1994-07-01,558
1994-10-01,6865
1995-01-01,6874
1995-04-01,6211
1995-07-01,7166
1995-10-01,9182
1996-01-01,11536
1996-04-01,13039
1996-07-01,15529
1996-10-01,17671
1997-01-01,20512
1997-04-01,22885
1997-07-01,25614
1997-10-01,27635
1998-01-01,31397
1998-04-01,33586
1998-07-01,36992
1998-10-01,36516
1999-01-01,40636
1999-04-01,42787
1999-07-01,46457
1999-10-01,47988
2000-01-01,52264
2000-04-01,54105
2000-07-01,58542
2000-10-01,59662
2001-01-01,64386
2001-04-01,66683
2001-07-01,70765
2001-10-01,72470
2002-01-01,76092
2002-04-01,76396
2002-07-01,80449
2002-10-01,80490
2003-01-01,83129
2003-04-01,82164
2003-07-01,83311
2003-10-01,82366
2004-01-01,85403
2004-04-01,84728
2004-07-01,87140
2004-10-01,86074
2005-01-01,89425
2005-04-01,88936
2005-07-01,91715
2005-10-01,89822
2006-01-01,110095
2006-04-01,109606
2006-07-01,110459
2006-10-01,108664
2007-01-01,112177
2007-04-01,111854
2007-07-01,115000
2007-10-01,115657
2008-01-01,121100
2008-04-01,122355
2008-07-01,131000
2008-10-01,135152
2009-01-01,146888
2009-04-01,154260
2009-07-01,183213
2009-10-01,232650
2010-01-01,247758
2010-04-01,264795
2010-07-01,323981
2010-10-01,363784
2011-01-01,413923
2011-04-01,430571
2011-07-01,472791
2011-10-01,494759
2012-01-01,531393
2012-04-01,558492
2012-07-01,602207
2012-10-01,622248
2013-01-01,665236
2013-04-01,680570
2013-07-01,720074
2013-10-01,735517
2014-01-01,776550
2014-04-01,791798
2014-07-01,833020
2014-10-01,846248
2015-01-01,887282
2015-04-01,901363
2015-07-01,936547
2015-10-01,949665
2016-01-01,989749
2016-04-01,1001136
2016-07-01,1036653
2016-10-01,1049293
2017-01-01,1087035
2017-04-01,1098281
2017-07-01,1133577
2017-10-01,1145579.0
2018-01-01,1181633.0
2018-04-01,1191632.0
2018-07-01,1224371.0
2018-10-01,1236272.0
2019-01-01,1269571.0
2019-04-01,1278347.0
2019-07-01,1312855.0
